City_ID,City,Country,Date,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
112,Helong,CN,4/12/2022 3:21,42.5397,128.9972,8.49,73,100,2.95,light rain
113,Uyuni,BO,4/12/2022 3:21,-20.4597,-66.825,5.98,23,0,4.18,clear sky
114,Tuktoyaktuk,CA,4/12/2022 3:21,69.4541,-133.0374,-18,78,20,2.57,few clouds
115,Miyako,JP,4/12/2022 3:21,39.6367,141.9525,18.99,45,12,1.89,few clouds
116,Elko,US,4/12/2022 3:21,41.0002,-115.5012,-5.17,81,100,2.68,overcast clouds
117,Upernavik,GL,4/12/2022 3:21,72.7868,-56.1549,-10.16,95,100,3.95,light snow
118,Khatanga,RU,4/12/2022 3:21,71.9667,102.5,-19.67,95,98,0.63,overcast clouds
119,Arraial do Cabo,BR,4/12/2022 3:21,-22.9661,-42.0278,24.55,84,61,6.68,broken clouds
120,Norman Wells,CA,4/12/2022 3:21,65.282,-126.8329,-8.98,32,20,3.6,few clouds
121,Touros,BR,4/12/2022 3:21,-5.1989,-35.4608,25.92,78,100,3.4,overcast clouds
122,Faanui,PF,4/12/2022 3:21,-16.4833,-151.75,27.48,74,20,5.39,light rain
123,Pacific Grove,US,4/12/2022 3:21,36.6177,-121.9166,8.47,67,1,8.05,clear sky
124,Rawson,AR,4/12/2022 3:21,-43.3002,-65.1023,12.63,67,100,7.36,overcast clouds
125,Vao,NC,4/12/2022 3:21,-22.6667,167.4833,25.1,75,10,6.54,clear sky
126,Jovellar,PH,4/12/2022 3:21,13.0695,123.5999,26.79,84,100,2.71,moderate rain
127,Anloga,GH,4/12/2022 3:21,5.7947,0.8973,27.61,86,56,4.69,broken clouds
128,Kota Kinabalu,MY,4/12/2022 3:21,5.9749,116.0724,30.99,70,20,3.13,few clouds
129,Malmesbury,ZA,4/12/2022 3:21,-33.4608,18.7271,18.34,44,5,1.21,clear sky
